iter	Passed	Remaining
781	1333	371
782	1336	370
783	1338	368
784	1339	366
785	1341	365
786	1343	363
787	1345	362
788	1347	360
789	1349	358
790	1351	357
791	1352	355
792	1354	353
793	1356	351
794	1357	350
795	1359	348
796	1361	346
797	1363	345
798	1364	343
799	1366	341
800	1368	339
801	1369	338
802	1371	336
803	1373	334
804	1374	333
805	1376	331
806	1377	329
807	1379	327
808	1380	326
809	1382	324
810	1383	322
811	1385	320
812	1387	319
813	1388	317
814	1390	315
815	1391	313
816	1393	312
817	1394	310
818	1396	308
819	1398	306
820	1399	305
821	1400	303
822	1402	301
823	1403	299
824	1405	298
825	1406	296
826	1408	294
827	1410	292
828	1411	291
829	1413	289
830	1415	287
831	1416	286
832	1418	284
833	1420	282
834	1422	281
835	1423	279
836	1425	277
837	1426	275
838	1428	274
839	1430	272
840	1431	270
841	1433	268
842	1435	267
843	1436	265
844	1438	263
845	1439	262
846	1441	260
847	1442	258
848	1444	256
849	1445	255
850	1447	253
851	1448	251
852	1450	249
853	1451	248
854	1453	246
855	1454	244
856	1456	243
857	1457	241
858	1459	239
859	1461	237
860	1463	236
861	1464	234
862	1466	232
863	1467	231
864	1469	229
865	1470	227
866	1472	225
867	1473	224
868	1475	222
869	1477	220
870	1479	219
871	1480	217
872	1482	215
873	1483	213
874	1485	212
875	1486	210
876	1488	208
877	1489	207
878	1491	205
879	1492	203
880	1494	201
881	1496	200
882	1497	198
883	1498	196
884	1500	194
885	1502	193
886	1503	191
887	1505	189
888	1507	188
889	1508	186
890	1510	184
891	1511	183
892	1513	181
893	1514	179
894	1516	177
895	1517	176
896	1519	174
897	1520	172
898	1522	171
899	1523	169
900	1525	167
901	1526	165
902	1528	164
903	1529	162
904	1531	160
905	1533	159
906	1534	157
907	1536	155
908	1538	153
909	1539	152
910	1541	150
911	1542	148
912	1544	147
913	1546	145
914	1547	143
915	1549	142
916	1550	140
917	1552	138
918	1553	136
919	1555	135
920	1556	133
921	1558	131
922	1560	130
923	1562	128
924	1563	126
925	1565	125
926	1566	123
927	1568	121
928	1569	119
929	1571	118
930	1572	116
931	1574	114
932	1575	113
933	1577	111
934	1578	109
935	1580	108
936	1582	106
937	1583	104
938	1585	102
939	1586	101
940	1588	99
941	1589	97
942	1591	96
943	1593	94
944	1595	92
945	1596	91
946	1598	89
947	1599	87
948	1601	86
949	1602	84
950	1604	82
951	1605	80
952	1607	79
953	1609	77
954	1610	75
955	1612	74
956	1613	72
957	1615	70
958	1617	69
959	1618	67
960	1620	65
961	1621	64
962	1623	62
963	1625	60
964	1626	59
965	1628	57
966	1629	55
967	1631	53
968	1633	52
969	1634	50
970	1636	48
971	1637	47
972	1639	45
973	1640	43
974	1642	42
975	1643	40
976	1645	38
977	1646	37
978	1648	35
979	1650	33
980	1651	31
981	1653	30
982	1654	28
983	1656	26
984	1657	25
985	1659	23
986	1661	21
987	1662	20
988	1664	18
989	1665	16
990	1667	15
991	1668	13
992	1670	11
993	1671	10
994	1673	8
995	1674	6
996	1676	5
997	1678	3
998	1679	1
999	1681	0
